cod;pais;cidade;veiculo;timestamp_resp;genero;renda_familiar;local_residencia;posse_bicicleta;posse_bicicleta_eletrica;posse_patinete_eletrica;posse_motocicleta;posse_automovel;posse_nenhum_desses;motivo;migracao_modal;m_caminhada;m_app_taxi;m_automovel;m_onibus_local;m_onibus_corredor;m_metro_trem;m_nao;integracao;i_metro;i_trem;i_onibus;i_fretado;i_automovel;i_app_taxi;i_nao;acidente;a_caminhada;a_bicicleta_propria;a_bicicleta_compartilhada;a_patinete_compartilhada;a_motocicleta;a_automovel;a_transporte_coletivo;a_nao;calcadas_largas_planas;ciclovias_ciclofaixas;traffic_calming;respeito_motoristas;capacete
Y6147;BR;SAO PAULO;PATINETE;01/04/2019 16:56;MASCULINO;ATE 01 SM;FORA - ZONA NORTE;1;0;0;0;1;0;LAZER;NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y6148;BR;SAO PAULO;PATINETE;01/04/2019 17:04;MASCULINO;DE 10 A 20 SM;FORA - ZONA LESTE;0;0;0;0;1;0;LAZER;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;5;2;3;1
Y6149;BR;SAO PAULO;PATINETE;01/04/2019 17:06;FEMININO;DE 05 A 10 SM;DENTRO;1;0;0;0;1;0;OUTROS;SIM;1;1;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;5;2;3;1
Y6150;BR;SAO PAULO;BICICLETA;01/04/2019 17:09;MASCULINO;DE 03 A 05 SM;FORA - ZONA OESTE;0;0;0;0;1;0;EDUCACAO;SIM;1;1;0;1;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;3;1;4;2;5
Y6151;BR;SAO PAULO;PATINETE;01/04/2019 17:15;MASCULINO;DE 05 A 10 SM;FORA - ZONA SUL;0;0;0;0;0;1;LAZER;SIM;1;0;0;0;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;3;1;5;2;4
Y6152;BR;SAO PAULO;PATINETE;01/04/2019 17:22;FEMININO;DE 01 A 02 SM;FORA - ZONA SUL;0;0;0;0;1;0;TRABALHO;SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;0;1;1;0;5;4;3;2;1
Y6153;BR;SAO PAULO;PATINETE;01/04/2019 17:22;MASCULINO;DE 05 A 10 SM;FORA - ZONA SUL;1;0;0;0;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;2;3;4;5
Y6154;BR;SAO PAULO;PATINETE;01/04/2019 17:23;MASCULINO;DE 10 A 20 SM;DENTRO;1;0;0;0;1;0;LAZER;NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;1;0;0; SIM;0;0;0;0;0;1;0;0;5;4;3;2;1
Y6155;BR;SAO PAULO;BICICLETA;01/04/2019 17:31;MASCULINO;DE 05 A 10 SM;FORA - ZONA LESTE;1;0;0;0;1;0;OUTROS;SIM;0;0;0;0;0;1;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;3;2;4;1;5
Y6156;BR;SAO PAULO;BICICLETA;01/04/2019 17:32;FEMININO;DE 02 A 03 SM;FORA - ZONA SUL;0;0;0;0;1;0;OUTROS;SIM;0;0;0;1;0;0;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;5;1;4;3;2
